name,host_id,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,price,maximum_nights,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,total_amenities
Serene Mid-Century Apartment,488767748,f,Bay Ridge,Brooklyn,40.63159,-74.02536,Private room in rental unit,Private room,2,2.0,71.0,365,365,20,1,0.65,61
Malcolm 3 - Beautiful New Private Bedroom,463464923,f,Bedford-Stuyvesant,Brooklyn,40.69126,-73.93196,Private room in rental unit,Private room,2,1.0,45.0,90,126,40,10,1.3,702
Beachfront 1 BR,12706936,f,Far Rockaway,Queens,40.59633,-73.74134,Entire rental unit,Entire home/apt,3,1.0,126.0,365,365,0,1,0.0,160
Pink Apartment NYC -Private Room-Breakfast,180947602,f,Harlem,Manhattan,40.81874338386493,-73.95250651698102,Private room in rental unit,Private room,1,1.0,40.0,1125,180,6,2,0.24,1390
LES is MORE stunning views,378853274,f,Lower East Side,Manhattan,40.71922,-73.98645,Entire rental unit,Entire home/apt,3,1.0,406.0,1125,232,80,3,2.57,908
Lovely 4 bedrooms~Midtown grand central ~Park ave,190154361,f,Midtown,Manhattan,40.74593,-73.98119,Entire rental unit,Entire home/apt,8,4.0,286.0,365,327,0,23,0.0,518
Saint Marks 2 bedroom near NYU!,190154361,f,East Village,Manhattan,40.728,-73.98804,Entire rental unit,Entire home/apt,3,2.0,199.0,365,312,0,23,0.0,539
Panoramic Water & City Views | Luxury High-Rise,385091169,f,Battery Park City,Manhattan,40.70883,-74.01641,Entire rental unit,Entire home/apt,2,0.0,210.0,365,312,10,2,0.36,746
"Room in 3BR/2BA Apt 5mins, M R Elmhurst Av Station",137358866,t,Elmhurst,Queens,40.7404828,-73.88390629999999,Private room in rental unit,Private room,1,1.0,69.0,365,333,4,82,0.14,499
Queen Room on Kingston,486817584,t,Crown Heights,Brooklyn,40.67096,-73.94151,Private room in rental unit,Private room,2,4.0,53.0,400,349,6,2,0.2,533
Live Play & Recharge at Hidden Gem in NYC!,479089771,f,St. Albans,Queens,40.69526,-73.75121,Entire rental unit,Entire home/apt,2,1.0,84.0,30,347,45,1,1.47,830
3-Bedroom Apartment,465866457,No info available,Claremont Village,Bronx,40.83605973186623,-73.91282562895127,Entire home,Entire home/apt,1,1.0,306.0,365,365,0,12,0.0,866
"Loft style 2 bedroom apartment, Saint Marks! NYU!",190154361,f,East Village,Manhattan,40.72991,-73.98886,Entire rental unit,Entire home/apt,3,2.0,199.0,365,318,3,23,0.19,544
By JFK / 2 Bedroom,489230483,f,Springfield Gardens,Queens,40.6673666,-73.76059889999999,Private room in rental unit,Private room,5,2.0,90.0,365,270,11,1,0.4,385
Trendy 2 Bedroom Brooklyn Apt. Close to Manhattan,87639559,f,Bedford-Stuyvesant,Brooklyn,40.67864,-73.91162,Entire rental unit,Entire home/apt,5,2.0,218.0,365,364,10,15,0.32,458
Long Private Room on Kingston,486817584,t,Crown Heights,Brooklyn,40.67274,-73.94111,Private room in rental unit,Private room,2,4.0,49.0,400,351,4,2,0.15,476
~Cozy 2 bedrooms~Prime Upper East~,190154361,f,Upper East Side,Manhattan,40.78126,-73.95314,Entire rental unit,Entire home/apt,4,2.0,200.0,365,311,2,23,0.08,572
Malcolm 4 - Beautiful New Private Bedroom,463464923,f,Bedford-Stuyvesant,Brooklyn,40.69022,-73.93195,Private room in rental unit,Private room,2,1.0,50.0,90,102,54,10,1.77,660
Private Cozy 3BR/2BTH 10 min from JFK & UBS,470366840,t,Rosedale,Queens,40.65673,-73.74378,Private room in guest suite,Private room,9,3.0,300.0,1125,344,56,2,1.8,971
Rome’s Oasis.Close to JFK,488801886,t,Jamaica,Queens,40.67847,-73.79555,Private room in home,Private room,2,1.0,88.0,30,302,105,1,3.37,911
Beautiful King room in E. Willy,521819,t,Williamsburg,Brooklyn,40.7145313660841,-73.93934893838325,Private room in rental unit,Private room,2,3.0,78.0,365,105,32,2,1.03,980
3BR Family Oasis Boho • LGA/ JFK • 15 Min City,488152765,f,Astoria,Queens,40.76903,-73.92831,Entire rental unit,Entire home/apt,10,3.0,453.0,365,365,71,7,2.29,1141
Cozy Nest,324301875,t,Queens Village,Queens,40.7049094,-73.73596429999999,Private room in home,Private room,2,1.0,104.0,10,115,266,1,8.73,912
"Blueground | UWS, elevator & w/d, nr Central Park",107434423,f,Upper West Side,Manhattan,40.8009069,-73.96954989999999,Entire rental unit,Entire home/apt,2,1.0,389.0,1125,223,0,1054,0.0,468
Lovely two bedroom in the West Village,482835,f,West Village,Manhattan,40.73233949999999,-74.0023085,Entire rental unit,Entire home/apt,2,2.0,170.0,90,167,2,1,0.09,94
Look No Further! Pets Allowed HERE!,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,4,1.0,50029.0,1125,362,0,70,0.0,351
Exclusive Williamsburg Private Room,488855227,f,Williamsburg,Brooklyn,40.70779,-73.94824,Private room in rental unit,Private room,1,1.0,81.0,180,352,0,12,0.0,488
Experience NYC! 4 Min Walk from Empire State,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,2,1.0,286.0,1125,362,1,70,0.04,351
Relax & Recharge! Walk to Broadway & Empire State!,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,2,1.0,40000.0,1125,51,0,70,0.0,351
Getaway In The Big Apple! Relaxing Unit in NYC!,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,2,1.0,40000.0,1125,56,1,70,0.26,351
Relaxation Meets Convenience! Pet-friendly!,25138314,f,Midtown,Manhattan,40.74782,-73.98652,Room in hotel,Hotel room,4,1.0,40000.0,1125,192,0,70,0.0,351
